product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262600,KWH,I_TAX,NAC,BE	: 	0.0873 	0.0781 	0.0691 	0.0593 	0.0595 	0.0582 	0.0552 	0.0557 	0.0551 	0.0555 	0.0559 	0.0539 	0.0543 	0.0514 	0.0511 	0.0513 	0.0545 	0.0535 	0.0545 	0.0533 	0.0534 	0.0535 	0.0530 	0.0543 	0.0523 	0.0516 	0.0530 	0.0530 	0.0530 	0.0498 	0.0488 
6000,4262600,KWH,I_TAX,NAC,EL	: 	0.0476 	0.0476 	0.0460 	0.0456 	0.0445 	0.0445 	0.0434 	0.0434 	0.0420 	0.0420 	0.0418 	0.0407 	0.0395 	0.0395 	0.0395 	0.0395 	0.0419 	0.0419 	: 	0.0405 	0.0405 	0.0405 	0.0405 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0364 
6000,4262600,KWH,I_TAX,NAC,ES	: 	: 	0.0398 	0.0379 	: 	: 	0.0373 	0.0367 	0.0367 	0.0374 	0.0374 	0.0356 	0.0356 	0.0351 	0.0351 	0.0344 	0.0344 	0.0344 	0.0344 	0.0316 	0.0316 	0.0367 	0.0367 	0.0367 	0.0367 	0.0370 	0.0370 	0.0370 	0.0370 	0.0361 	0.0361 	0.0376 
6000,4262600,KWH,I_TAX,NAC,IT	0.1073 	0.1027 	0.0998 	0.0846 	0.0877 	0.0763 	0.0759 	0.0783 	0.0779 	0.0753 	0.0717 	0.0726 	0.0787 	0.0697 	0.0624 	0.0527 	0.0568 	0.0609 	0.0609 	0.0586 	0.0591 	0.0553 	0.0553 	0.0553 	0.0528 	0.0500 	0.0500 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,PL	: 	: 	0.2394 	0.2366 	0.2402 	0.2356 	0.2351 	: 	0.2322 	0.2285 	0.2246 	0.2070 	0.1950 	0.1950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,PT	: 	: 	: 	: 	0.0524 	: 	0.0500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,RO	: 	: 	0.1921 	0.2330 	2417.2000 	2113.4300 	1996.0600 	1682.2100 	1527.2300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,I_TAX,NAC,UK	: 	0.0537 	0.0505 	0.0376 	0.0353 	0.0296 	0.0329 	0.0306 	0.0323 	0.0339 	0.0339 	0.0377 	0.0348 	0.0406 	0.0378 	0.0373 	0.0412 	0.0390 	0.0394 	0.0380 	0.0419 	0.0424 	0.0421 	0.0419 	0.0437 	0.0402 	0.0438 	0.0447 	0.0450 	0.0430 	0.0400 	0.0410 
6000,4262600,KWH,X_TAX,NAC,BE	: 	0.0694 	0.0617 	0.0545 	0.0464 	0.0472 	0.0468 	0.0445 	0.0457 	0.0455 	0.0458 	0.0460 	0.0445 	0.0449 	0.0425 	0.0423 	0.0424 	0.0451 	0.0441 	0.0451 	0.0439 	0.0441 	0.0441 	0.0441 	0.0451 	0.0434 	0.0429 	0.0444 	0.0444 	0.0444 	0.0426 	0.0416 
6000,4262600,KWH,X_TAX,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
6000,4262600,KWH,X_TAX,NAC,ES	: 	: 	0.0327 	0.0311 	: 	: 	0.0306 	0.0301 	0.0301 	0.0307 	0.0307 	0.0292 	0.0292 	0.0288 	0.0288 	0.0282 	0.0282 	0.0282 	0.0282 	0.0304 	0.0304 	0.0316 	0.0316 	0.0316 	0.0316 	0.0322 	0.0322 	0.0322 	0.0322 	0.0320 	0.0320 	0.0335 
6000,4262600,KWH,X_TAX,NAC,IT	0.0824 	0.0833 	0.0819 	0.0715 	0.0725 	0.0633 	0.0627 	0.0657 	0.0639 	0.0612 	0.0590 	0.0607 	0.0687 	0.0532 	0.0454 	0.0396 	0.0386 	0.0410 	0.0460 	0.0438 	0.0437 	0.0412 	0.0412 	0.0412 	0.0394 	0.0366 	0.0366 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_TAX,NAC,PL	: 	: 	0.1762 	0.1739 	0.1769 	0.1728 	0.1727 	: 	0.1909 	0.1878 	0.1846 	0.1700 	0.1600 	0.1600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_TAX,NAC,PT	: 	: 	: 	: 	0.0499 	: 	0.0476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_TAX,NAC,RO	: 	: 	0.1614 	0.1958 	2031.2600 	1629.3500 	1538.8700 	1296.9000 	1177.4200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_TAX,NAC,UK	: 	0.0427 	0.0400 	0.0290 	0.0270 	0.0222 	0.0250 	0.0230 	0.0245 	0.0259 	0.0258 	0.0292 	0.0296 	0.0346 	0.0322 	0.0317 	0.0350 	0.0332 	0.0335 	0.0323 	0.0356 	0.0361 	0.0358 	0.0357 	0.0372 	0.0342 	0.0373 	0.0380 	0.0380 	0.0370 	0.0340 	0.0350 
6000,4262600,KWH,X_VAT,NAC,BE	: 	0.0722 	0.0646 	0.0571 	0.0490 	0.0492 	0.0484 	0.0458 	0.0461 	0.0455 	0.0459 	0.0462 	0.0445 	0.0449 	0.0425 	0.0423 	0.0424 	0.0451 	0.0441 	0.0451 	0.0439 	0.0441 	0.0441 	0.0441 	0.0451 	0.0434 	0.0429 	0.0444 	0.0444 	0.0444 	0.0426 	0.0416 
6000,4262600,KWH,X_VAT,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
6000,4262600,KWH,X_VAT,NAC,ES	: 	: 	0.0343 	0.0327 	: 	: 	0.0322 	0.0317 	0.0317 	0.0323 	0.0322 	0.0307 	0.0307 	0.0303 	0.0303 	0.0297 	0.0297 	0.0297 	0.0297 	0.0304 	0.0304 	0.0316 	0.0316 	0.0316 	0.0316 	0.0322 	0.0322 	0.0322 	0.0322 	0.0320 	0.0320 	0.0335 
6000,4262600,KWH,X_VAT,NAC,IT	0.0975 	0.0934 	0.0907 	0.0769 	0.0797 	0.0694 	0.0690 	0.0712 	0.0709 	0.0684 	0.0651 	0.0660 	0.0715 	0.0634 	0.0567 	0.0479 	0.0516 	0.0553 	0.0553 	0.0533 	0.0537 	0.0503 	0.0503 	0.0503 	0.0484 	0.0459 	0.0459 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_VAT,NAC,PL	: 	: 	0.1962 	0.1939 	0.1969 	0.1928 	0.1927 	: 	0.1909 	0.1878 	0.1846 	0.1700 	0.1600 	0.1600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_VAT,NAC,PT	: 	: 	: 	: 	0.0499 	: 	0.0476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_VAT,NAC,RO	: 	: 	0.1614 	0.1958 	2031.2600 	1775.9900 	1677.3600 	1413.6200 	1283.3800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262600,KWH,X_VAT,NAC,UK	: 	0.0457 	0.0430 	0.0320 	0.0300 	0.0252 	0.0280 	0.0260 	0.0275 	0.0289 	0.0288 	0.0321 	0.0296 	0.0346 	0.0322 	0.0317 	0.0350 	0.0332 	0.0335 	0.0323 	0.0356 	0.0361 	0.0358 	0.0357 	0.0372 	0.0342 	0.0373 	0.0380 	0.0380 	0.0370 	0.0340 	0.0350 
6000,4262610,KWH,I_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0518 p	0.0529 	0.0528 	0.0530 	0.0523 	0.0427 	0.0428 	0.0516 	0.0506 	0.0479 	0.0472 	0.0466 	0.0462 	0.0470 	0.0462 	0.0472 
6000,4262610,KWH,I_TAX,NAC,NO	: 	: 	0.0940 	: 	0.1990 	0.0930 	: 	0.1010 	0.0980 	0.1920 	0.0980 	0.0960 	0.1000 	0.1260 	0.1020 	0.1020 	: 	0.0713 	0.1390 	0.1400 	0.1400 	0.1340 	0.1400 	0.1080 	0.1140 	: 	: 	: 	: 	: 	: 	: 
6000,4262610,KWH,I_TAX,NAC,PL	: 	: 	0.1707 	0.2033 	0.2193 	0.2050 	0.2048 	: 	0.1900 	0.1950 	0.1830 	0.1590 	0.1460 	0.1460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262610,KWH,I_TAX,NAC,PT	: 	: 	: 	0.0492 	0.0470 	: 	0.0447 	0.0439 	0.0440 	: 	0.0427 	0.0399 	0.0399 	0.0395 	0.0395 	0.0397 	0.0397 	0.0441 	0.0441 	0.0459 	0.0459 	0.0478 	0.0478 	0.0508 	0.0508 	0.0540 	0.0540 	0.0630 	0.0630 	0.0613 	0.0570 	0.0570 
6000,4262610,KWH,X_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0441 p	0.0450 	0.0450 	0.0452 	0.0445 	0.0364 	0.0364 	0.0440 	0.0431 	0.0407 	0.0402 	0.0397 	0.0394 	0.0396 	0.0390 	0.0399 
6000,4262610,KWH,X_TAX,NAC,NO	: 	: 	0.0700 	: 	0.1550 	0.0700 	: 	0.0810 	0.0790 	0.1550 	0.0790 	0.0780 	0.0810 	0.1020 	0.0830 	0.0830 	: 	0.0580 	0.1130 	0.1140 	0.1140 	0.1090 	0.1140 	0.0880 	0.0927 	: 	: 	: 	: 	: 	: 	: 
6000,4262610,KWH,X_TAX,NAC,PL	: 	: 	0.1199 	0.1466 	0.1597 	0.1481 	0.1479 	: 	0.1600 	0.1600 	0.1500 	0.1300 	0.1200 	0.1200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262610,KWH,X_TAX,NAC,PT	: 	: 	: 	0.0469 	0.0448 	: 	0.0426 	0.0418 	0.0419 	: 	0.0407 	0.0380 	0.0380 	0.0376 	0.0376 	0.0378 	0.0378 	0.0420 	0.0420 	0.0437 	0.0437 	0.0455 	0.0455 	0.0483 	0.0483 	0.0514 	0.0514 	0.0601 	0.0601 	0.0584 	0.0528 	0.0528 
6000,4262610,KWH,X_VAT,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0441 p	0.0450 	0.0450 	0.0452 	0.0445 	0.0364 	0.0364 	0.0440 	0.0431 	0.0407 	0.0402 	0.0397 	0.0394 	0.0396 	0.0390 	0.0399 
6000,4262610,KWH,X_VAT,NAC,NO	: 	: 	0.0750 	: 	0.1600 	0.0750 	: 	0.0810 	0.0790 	0.1550 	0.0790 	0.0780 	0.0810 	0.1020 	0.0830 	0.0830 	: 	0.0580 	0.1130 	0.1140 	0.1140 	0.1090 	0.1140 	0.0880 	0.0927 	: 	: 	: 	: 	: 	: 	: 
6000,4262610,KWH,X_VAT,NAC,PL	: 	: 	0.1399 	0.1666 	0.1797 	0.1681 	0.1679 	: 	0.1600 	0.1600 	0.1500 	0.1300 	0.1200 	0.1200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262610,KWH,X_VAT,NAC,PT	: 	: 	: 	0.0469 	0.0448 	: 	0.0426 	0.0418 	0.0419 	: 	0.0407 	0.0380 	0.0380 	0.0376 	0.0376 	0.0378 	0.0378 	0.0420 	0.0420 	0.0437 	0.0437 	0.0455 	0.0455 	0.0483 	0.0483 	0.0514 	0.0514 	0.0601 	0.0601 	0.0584 	0.0528 	0.0528 
6000,4262620,KWH,I_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0515 	0.0558 p	0.0569 	0.0569 	0.0564 	0.0540 	0.0576 	0.0576 	0.0573 	0.0544 	0.0503 	0.0530 	0.0524 	0.0555 	0.0545 	0.0532 	0.0558 
6000,4262620,KWH,I_TAX,NAC,NO	: 	: 	0.3020 	: 	0.2760 	0.2940 	: 	0.3390 	0.3550 	0.2390 	0.2510 	0.2490 	0.2690 	0.2670 	0.2550 	0.3050 	: 	0.2300 	0.2310 	0.4010 	0.4010 	0.3790 	0.2880 	0.2680 	0.2310 	: 	: 	: 	: 	: 	: 	: 
6000,4262620,KWH,I_TAX,NAC,PL	: 	: 	0.2668 	0.2588 	0.2737 	0.2701 	0.2657 	: 	0.2800 	0.3050 	0.3420 	0.2810 	0.2680 	0.2320 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262620,KWH,I_TAX,NAC,PT	: 	: 	: 	0.0636 	0.0614 	: 	0.0588 	0.0576 	0.0577 	: 	0.0562 	0.0504 	0.0504 	0.0498 	0.0498 	0.0501 	0.0501 	0.0557 	0.0557 	0.0577 	0.0577 	0.0598 	0.0598 	0.0634 	0.0634 	0.0673 	0.0673 	0.0731 	0.0731 	0.0731 	0.0712 	0.0712 
6000,4262620,KWH,X_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0438 	0.0475 p	0.0484 	0.0484 	0.0480 	0.0459 	0.0490 	0.0490 	0.0488 	0.0463 	0.0428 	0.0452 	0.0446 	0.0473 	0.0460 	0.0449 	0.0472 
6000,4262620,KWH,X_TAX,NAC,NO	: 	: 	0.2370 	: 	0.2170 	0.2330 	: 	0.2730 	0.2870 	0.1920 	0.2020 	0.2000 	0.2170 	0.2170 	0.2070 	0.2480 	: 	0.1870 	0.1880 	0.3260 	0.3260 	0.3080 	0.2340 	0.2180 	0.1878 	: 	: 	: 	: 	: 	: 	: 
6000,4262620,KWH,X_TAX,NAC,PL	: 	: 	0.1987 	0.1921 	0.2043 	0.2014 	0.1978 	: 	0.2300 	0.2500 	0.2800 	0.2300 	0.2200 	0.1900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262620,KWH,X_TAX,NAC,PT	: 	: 	: 	0.0605 	0.0585 	: 	0.0560 	0.0549 	0.0549 	: 	0.0535 	0.0480 	0.0480 	0.0474 	0.0474 	0.0477 	0.0477 	0.0530 	0.0530 	0.0549 	0.0549 	0.0569 	0.0569 	0.0604 	0.0604 	0.0640 	0.0640 	0.0696 	0.0696 	0.0696 	0.0660 	0.0660 
6000,4262620,KWH,X_VAT,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0438 	0.0475 p	0.0484 	0.0484 	0.0480 	0.0459 	0.0490 	0.0490 	0.0488 	0.0463 	0.0428 	0.0452 	0.0446 	0.0473 	0.0460 	0.0449 	0.0472 
6000,4262620,KWH,X_VAT,NAC,NO	: 	: 	0.2410 	: 	0.2210 	0.2370 	: 	0.2730 	0.2870 	0.1920 	0.2020 	0.2000 	0.2170 	0.2170 	0.2070 	0.2480 	: 	0.1870 	0.1880 	0.3260 	0.3260 	0.3080 	0.2340 	0.2180 	0.1878 	: 	: 	: 	: 	: 	: 	: 
6000,4262620,KWH,X_VAT,NAC,PL	: 	: 	0.2187 	0.2121 	0.2243 	0.2214 	0.2178 	: 	0.2300 	0.2500 	0.2800 	0.2300 	0.2200 	0.1900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262620,KWH,X_VAT,NAC,PT	: 	: 	: 	0.0605 	0.0585 	: 	0.0560 	0.0549 	0.0549 	: 	0.0535 	0.0480 	0.0480 	0.0474 	0.0474 	0.0477 	0.0477 	0.0530 	0.0530 	0.0549 	0.0549 	0.0569 	0.0569 	0.0604 	0.0604 	0.0640 	0.0640 	0.0696 	0.0696 	0.0696 	0.0660 	0.0660 
6000,4262630,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0503 	0.0503 	0.0517 	0.0533 	0.0546 	0.0546 	0.0571 	0.0571 	0.0579 	0.0569 	0.0572 	0.0572 	0.0574 	0.0574 	0.0569 	0.0569 	0.0562 	0.0562 
6000,4262630,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0430 	0.0430 	0.0452 	0.0452 	0.0452 	0.0452 	0.0473 	0.0473 	0.0480 	0.0480 	0.0483 	0.0483 	0.0484 	0.0484 	0.0479 	0.0479 	0.0474 	0.0474 
6000,4262630,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0430 	0.0430 	0.0452 	0.0452 	0.0452 	0.0452 	0.0473 	0.0473 	0.0480 	0.0480 	0.0483 	0.0483 	0.0484 	0.0484 	0.0479 	0.0479 	0.0474 	0.0474 
6000,4262631,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0473 	0.0473 	0.0486 	0.0501 	0.0513 	0.0513 	0.0537 	0.0537 	0.0544 	0.0535 	0.0538 	0.0538 	0.0539 	0.0541 	0.0537 	0.0537 	0.0530 	0.0530 
6000,4262631,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0404 	0.0404 	0.0425 	0.0425 	0.0425 	0.0425 	0.0445 	0.0445 	0.0451 	0.0451 	0.0454 	0.0454 	0.0455 	0.0456 	0.0452 	0.0452 	0.0447 	0.0447 
6000,4262631,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0404 	0.0404 	0.0425 	0.0425 	0.0425 	0.0425 	0.0445 	0.0445 	0.0451 	0.0451 	0.0454 	0.0454 	0.0455 	0.0456 	0.0452 	0.0452 	0.0447 	0.0447 
6000,4262632,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0463 	0.0463 	0.0476 	0.0490 	0.0502 	0.0502 	0.0525 	0.0525 	0.0533 	0.0524 	0.0527 	0.0527 	0.0529 	0.0530 	0.0525 	0.0525 	0.0518 	0.0518 
6000,4262632,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0395 	0.0395 	0.0416 	0.0416 	0.0416 	0.0416 	0.0436 	0.0436 	0.0442 	0.0442 	0.0444 	0.0444 	0.0446 	0.0447 	0.0443 	0.0443 	0.0437 	0.0437 
6000,4262632,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0395 	0.0395 	0.0416 	0.0416 	0.0416 	0.0416 	0.0436 	0.0436 	0.0442 	0.0442 	0.0444 	0.0444 	0.0446 	0.0447 	0.0443 	0.0443 	0.0437 	0.0437 
