product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262633,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0453 	0.0453 	0.0466 	0.0479 	0.0491 	0.0491 	0.0514 	0.0514 	0.0521 	0.0512 	0.0515 	0.0515 	0.0516 	0.0517 	0.0512 	0.0512 	0.0507 	0.0507 
6000,4262633,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0387 	0.0387 	0.0407 	0.0407 	0.0407 	0.0407 	0.0426 	0.0426 	0.0432 	0.0432 	0.0434 	0.0434 	0.0435 	0.0436 	0.0432 	0.0432 	0.0427 	0.0427 
6000,4262633,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0387 	0.0387 	0.0407 	0.0407 	0.0407 	0.0407 	0.0426 	0.0426 	0.0432 	0.0432 	0.0434 	0.0434 	0.0435 	0.0436 	0.0432 	0.0432 	0.0427 	0.0427 
6000,4262634,KWH,I_TAX,NAC,PT	: 	: 	: 	0.0546 	0.0524 	: 	0.0500 	0.0490 	0.0492 	: 	0.0479 	0.0437 	0.0437 	0.0432 	0.0432 	0.0434 	0.0434 	0.0483 	0.0483 	0.0501 	0.0501 	0.0520 	0.0520 	0.0554 	0.0554 	0.0589 	0.0589 	0.0672 	0.0672 	0.0665 	0.0637 	0.0637 
6000,4262634,KWH,X_TAX,NAC,PT	: 	: 	: 	0.0520 	0.0499 	: 	0.0476 	0.0467 	0.0468 	: 	0.0456 	0.0416 	0.0416 	0.0412 	0.0412 	0.0414 	0.0414 	0.0460 	0.0460 	0.0477 	0.0477 	0.0495 	0.0495 	0.0527 	0.0527 	0.0561 	0.0561 	0.0640 	0.0640 	0.0634 	0.0590 	0.0590 
6000,4262634,KWH,X_VAT,NAC,PT	: 	: 	: 	0.0520 	0.0499 	: 	0.0476 	0.0467 	0.0468 	: 	0.0456 	0.0416 	0.0416 	0.0412 	0.0412 	0.0414 	0.0414 	0.0460 	0.0460 	0.0477 	0.0477 	0.0495 	0.0495 	0.0527 	0.0527 	0.0561 	0.0561 	0.0640 	0.0640 	0.0634 	0.0590 	0.0590 
6000,4262700,KWH,I_TAX,NAC,BE	: 	0.0841 	0.0750 	0.0660 	0.0563 	0.0568 	0.0547 	0.0518 	0.0522 	0.0517 	0.0522 	0.0525 	0.0505 	0.0509 	0.0481 	0.0478 	0.0480 	0.0511 	0.0501 	0.0512 	0.0498 	0.0500 	0.0503 	0.0501 	0.0511 	0.0491 	0.0486 	0.0501 	0.0501 	0.0501 	0.0471 	0.0461 
6000,4262700,KWH,I_TAX,NAC,EL	: 	0.0476 	0.0476 	0.0460 	0.0456 	0.0445 	0.0445 	0.0434 	0.0434 	0.0420 	0.0420 	0.0418 	0.0407 	0.0395 	0.0395 	0.0395 	0.0395 	0.0419 	0.0419 	: 	0.0405 	0.0405 	0.0405 	0.0405 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0364 
6000,4262700,KWH,I_TAX,NAC,ES	: 	: 	0.0398 	0.0379 	: 	: 	0.0373 	0.0367 	0.0367 	0.0374 	0.0374 	0.0356 	0.0356 	0.0351 	0.0351 	0.0344 	0.0344 	0.0344 	0.0344 	0.0316 	0.0316 	0.0367 	0.0367 	0.0367 	0.0367 	0.0370 	0.0370 	0.0370 	0.0370 	0.0361 	0.0361 	0.0376 
6000,4262700,KWH,I_TAX,NAC,IT	0.1023 	0.0983 	0.0961 	0.0823 	0.0845 	0.0733 	0.0727 	0.0752 	0.0741 	0.0713 	0.0682 	0.0696 	0.0770 	0.0681 	0.0614 	0.0514 	0.0555 	0.0596 	0.0596 	0.0573 	0.0578 	0.0540 	0.0540 	0.0540 	0.0515 	0.0487 	0.0487 	: 	: 	: 	: 	: 
6000,4262700,KWH,I_TAX,NAC,PL	: 	: 	0.2458 	0.2413 	0.2376 	0.2271 	0.2301 	: 	0.2218 	0.2233 	0.2016 	0.1950 	0.1830 	0.1830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,I_TAX,NAC,PT	: 	: 	: 	: 	0.0540 	: 	0.0515 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,I_TAX,NAC,RO	: 	: 	0.1836 	0.2099 	2542.0400 	1734.9100 	2059.3900 	1676.5400 	1498.3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,I_TAX,NAC,UK	: 	0.0502 	0.0471 	0.0342 	0.0318 	: 	0.0307 	0.0277 	0.0297 	0.0303 	0.0310 	0.0405 	0.0344 	0.0342 	0.0373 	0.0346 	0.0380 	0.0365 	0.0370 	0.0348 	0.0382 	0.0396 	0.0395 	0.0403 	0.0412 	0.0394 	0.0414 	0.0414 	0.0390 	0.0410 	0.0380 	0.0370 
6000,4262700,KWH,X_TAX,NAC,BE	: 	0.0678 	0.0603 	0.0529 	0.0447 	0.0452 	0.0439 	0.0417 	0.0428 	0.0427 	0.0430 	0.0432 	0.0418 	0.0421 	0.0398 	0.0395 	0.0396 	0.0421 	0.0414 	0.0423 	0.0412 	0.0414 	0.0416 	0.0416 	0.0424 	0.0407 	0.0404 	0.0419 	0.0419 	0.0419 	0.0402 	0.0394 
6000,4262700,KWH,X_TAX,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
6000,4262700,KWH,X_TAX,NAC,ES	: 	: 	0.0327 	0.0311 	: 	: 	0.0306 	0.0301 	0.0301 	0.0307 	0.0307 	0.0292 	0.0292 	0.0288 	0.0288 	0.0282 	0.0282 	0.0282 	0.0282 	0.0304 	0.0304 	0.0316 	0.0316 	0.0316 	0.0316 	0.0322 	0.0322 	0.0322 	0.0322 	0.0320 	0.0320 	0.0335 
6000,4262700,KWH,X_TAX,NAC,IT	0.0823 	0.0831 	0.0818 	0.0714 	0.0724 	0.0631 	0.0626 	0.0656 	0.0637 	0.0611 	0.0588 	0.0606 	0.0686 	0.0523 	0.0445 	0.0385 	0.0375 	0.0399 	0.0449 	0.0427 	0.0426 	0.0401 	0.0401 	0.0401 	0.0383 	0.0355 	0.0355 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_TAX,NAC,PL	: 	: 	0.1815 	0.1778 	0.1747 	0.1663 	0.1707 	: 	0.1806 	0.1839 	0.1653 	0.1600 	0.1500 	0.1500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_TAX,NAC,PT	: 	: 	: 	: 	0.0514 	: 	0.0490 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_TAX,NAC,RO	: 	: 	0.1543 	0.1764 	2136.1700 	1337.5300 	1587.6900 	1292.5300 	1155.1100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_TAX,NAC,UK	: 	0.0406 	0.0380 	0.0270 	0.0250 	: 	0.0240 	0.0215 	0.0232 	0.0237 	0.0243 	0.0324 	0.0293 	0.0291 	0.0318 	0.0295 	0.0323 	0.0311 	0.0315 	0.0296 	0.0325 	0.0337 	0.0336 	0.0343 	0.0351 	0.0336 	0.0353 	0.0352 	0.0330 	0.0350 	0.0330 	0.0320 
6000,4262700,KWH,X_VAT,NAC,BE	: 	0.0696 	0.0620 	0.0546 	0.0466 	0.0469 	0.0455 	0.0430 	0.0432 	0.0427 	0.0431 	0.0434 	0.0418 	0.0421 	0.0398 	0.0395 	0.0396 	0.0421 	0.0414 	0.0423 	0.0412 	0.0414 	0.0416 	0.0416 	0.0424 	0.0407 	0.0404 	0.0419 	0.0419 	0.0419 	0.0402 	0.0394 
6000,4262700,KWH,X_VAT,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
6000,4262700,KWH,X_VAT,NAC,ES	: 	: 	0.0343 	0.0327 	: 	: 	0.0322 	0.0317 	0.0317 	0.0323 	0.0322 	0.0307 	0.0307 	0.0303 	0.0303 	0.0297 	0.0297 	0.0297 	0.0297 	0.0304 	0.0304 	0.0316 	0.0316 	0.0316 	0.0316 	0.0322 	0.0322 	0.0322 	0.0322 	0.0320 	0.0320 	0.0335 
6000,4262700,KWH,X_VAT,NAC,IT	0.0930 	0.0894 	0.0874 	0.0748 	0.0768 	0.0666 	0.0661 	0.0684 	0.0673 	0.0647 	0.0619 	0.0632 	0.0700 	0.0619 	0.0558 	0.0467 	0.0504 	0.0542 	0.0542 	0.0521 	0.0526 	0.0491 	0.0491 	0.0491 	0.0472 	0.0447 	0.0447 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_VAT,NAC,PL	: 	: 	0.2015 	0.1978 	0.1947 	0.1863 	0.1907 	: 	0.1818 	0.1839 	0.1653 	0.1600 	0.1500 	0.1500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_VAT,NAC,PT	: 	: 	: 	: 	0.0514 	: 	0.0490 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_VAT,NAC,RO	: 	: 	0.1543 	0.1764 	2136.1700 	1457.9100 	1730.5800 	1408.8600 	1259.0700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262700,KWH,X_VAT,NAC,UK	: 	0.0427 	0.0401 	0.0291 	0.0271 	: 	0.0261 	0.0236 	0.0253 	0.0258 	0.0264 	0.0345 	0.0293 	0.0291 	0.0318 	0.0295 	0.0323 	0.0311 	0.0315 	0.0296 	0.0325 	0.0337 	0.0336 	0.0343 	0.0351 	0.0336 	0.0353 	0.0352 	0.0330 	0.0350 	0.0330 	0.0320 
6000,4262710,KWH,I_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0523 p	0.0533 	0.0533 	0.0529 	0.0505 	0.0523 	0.0522 	0.0501 	0.0491 	0.0453 	0.0467 	0.0395 	0.0405 	0.0419 	0.0409 	0.0472 
6000,4262710,KWH,I_TAX,NAC,NO	: 	: 	0.0560 	: 	0.1160 	0.0550 	: 	0.0570 	0.0560 	0.1090 	0.0560 	0.0550 	0.0570 	0.0710 	0.0580 	0.0580 	: 	0.0406 	0.1380 	0.2010 	0.2010 	0.1570 	0.1660 	0.1130 	0.1280 	: 	: 	: 	: 	: 	: 	: 
6000,4262710,KWH,I_TAX,NAC,PL	: 	: 	0.2081 	0.2247 	0.2009 	0.2007 	0.1957 	: 	0.1500 	0.1950 	0.1220 	0.1220 	0.1220 	0.1340 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262710,KWH,I_TAX,NAC,PT	: 	: 	: 	0.0508 	0.0484 	: 	0.0462 	0.0452 	0.0454 	: 	0.0442 	0.0420 	0.0420 	0.0415 	0.0415 	0.0418 	0.0418 	0.0464 	0.0464 	0.0481 	0.0481 	0.0499 	0.0499 	0.0531 	0.0531 	0.0564 	0.0564 	0.0620 	0.0620 	0.0617 	0.0581 	0.0581 
6000,4262710,KWH,X_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0445 p	0.0454 	0.0454 	0.0450 	0.0429 	0.0445 	0.0445 	0.0427 	0.0417 	0.0386 	0.0398 	0.0336 	0.0345 	0.0354 	0.0345 	0.0399 
6000,4262710,KWH,X_TAX,NAC,NO	: 	: 	0.0400 	: 	0.0880 	0.0400 	: 	0.0460 	0.0450 	0.0880 	0.0450 	0.0440 	0.0460 	0.0580 	0.0470 	0.0470 	: 	0.0330 	0.1120 	0.1630 	0.1630 	0.1270 	0.1350 	0.0920 	0.1041 	: 	: 	: 	: 	: 	: 	: 
6000,4262710,KWH,X_TAX,NAC,PL	: 	: 	0.1506 	0.1642 	0.1447 	0.1445 	0.1517 	: 	0.1200 	0.1600 	0.1000 	0.1000 	0.1000 	0.1100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262710,KWH,X_TAX,NAC,PT	: 	: 	: 	0.0484 	0.0461 	: 	0.0440 	0.0431 	0.0432 	: 	0.0421 	0.0401 	0.0401 	0.0396 	0.0396 	0.0398 	0.0398 	0.0442 	0.0442 	0.0458 	0.0458 	0.0475 	0.0475 	0.0505 	0.0505 	0.0537 	0.0537 	0.0591 	0.0591 	0.0588 	0.0538 	0.0538 
6000,4262710,KWH,X_VAT,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0445 p	0.0454 	0.0454 	0.0450 	0.0429 	0.0445 	0.0445 	0.0427 	0.0417 	0.0386 	0.0398 	0.0336 	0.0345 	0.0354 	0.0345 	0.0399 
6000,4262710,KWH,X_VAT,NAC,NO	: 	: 	0.0450 	: 	0.0930 	0.0450 	: 	0.0460 	0.0450 	0.0880 	0.0450 	0.0440 	0.0460 	0.0580 	0.0470 	0.0470 	: 	0.0330 	0.1120 	0.1630 	0.1630 	0.1270 	0.1350 	0.0920 	0.1041 	: 	: 	: 	: 	: 	: 	: 
6000,4262710,KWH,X_VAT,NAC,PL	: 	: 	0.1706 	0.1842 	0.1647 	0.1645 	0.1717 	: 	0.1200 	0.1600 	0.1000 	0.1000 	0.1000 	0.1100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262710,KWH,X_VAT,NAC,PT	: 	: 	: 	0.0484 	0.0461 	: 	0.0440 	0.0431 	0.0432 	: 	0.0421 	0.0401 	0.0401 	0.0396 	0.0396 	0.0398 	0.0398 	0.0442 	0.0442 	0.0458 	0.0458 	0.0475 	0.0475 	0.0505 	0.0505 	0.0537 	0.0537 	0.0591 	0.0591 	0.0588 	0.0538 	0.0538 
6000,4262720,KWH,I_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0565 p	0.0555 	0.0564 	0.0564 	0.0557 	0.0550 	0.0559 	0.0525 	0.0522 	0.0493 	0.0519 	0.0499 	0.0510 	0.0506 	0.0479 	0.0513 
6000,4262720,KWH,I_TAX,NAC,NO	: 	: 	0.2990 	: 	0.2740 	0.2920 	: 	0.3360 	0.3520 	0.2370 	0.2490 	0.2470 	0.2670 	0.2650 	0.2530 	0.3030 	: 	0.2288 	0.2430 	0.2120 	0.2120 	0.2120 	0.2440 	0.2400 	0.1950 	: 	: 	: 	: 	: 	: 	: 
6000,4262720,KWH,I_TAX,NAC,PL	: 	: 	0.2773 	0.2795 	0.2795 	0.2459 	0.2690 	: 	0.2600 	0.2700 	0.2440 	0.2320 	0.2190 	0.2560 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262720,KWH,I_TAX,NAC,PT	: 	: 	: 	0.0562 	0.0545 	: 	0.0517 	0.0510 	0.0509 	: 	0.0496 	0.0472 	0.0472 	0.0465 	0.0465 	0.0468 	0.0468 	0.0520 	0.0520 	0.0539 	0.0539 	0.0558 	0.0558 	0.0592 	0.0592 	0.0628 	0.0628 	0.0823 	0.0823 	0.0823 	0.0802 	0.0802 
6000,4262720,KWH,X_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0481 p	0.0472 	0.0480 	0.0480 	0.0474 	0.0468 	0.0476 	0.0447 	0.0445 	0.0419 	0.0442 	0.0425 	0.0434 	0.0427 	0.0404 	0.0431 
6000,4262720,KWH,X_TAX,NAC,NO	: 	: 	0.2350 	: 	0.2150 	0.2310 	: 	0.2710 	0.2840 	0.1910 	0.2010 	0.1990 	0.2150 	0.2150 	0.2050 	0.2460 	: 	0.1860 	0.1970 	0.1730 	0.1730 	0.1720 	0.1980 	0.1950 	0.1585 	: 	: 	: 	: 	: 	: 	: 
6000,4262720,KWH,X_TAX,NAC,PL	: 	: 	0.2073 	0.2091 	0.2091 	0.1816 	0.2005 	: 	0.2100 	0.2200 	0.2000 	0.1900 	0.1800 	0.2100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262720,KWH,X_TAX,NAC,PT	: 	: 	: 	0.0535 	0.0519 	: 	0.0493 	0.0486 	0.0485 	: 	0.0472 	0.0449 	0.0449 	0.0443 	0.0443 	0.0445 	0.0445 	0.0495 	0.0495 	0.0513 	0.0513 	0.0532 	0.0532 	0.0564 	0.0564 	0.0599 	0.0599 	0.0784 	0.0784 	0.0784 	0.0743 	0.0743 
6000,4262720,KWH,X_VAT,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0481 p	0.0472 	0.0480 	0.0480 	0.0474 	0.0468 	0.0476 	0.0447 	0.0445 	0.0419 	0.0442 	0.0425 	0.0434 	0.0427 	0.0404 	0.0431 
6000,4262720,KWH,X_VAT,NAC,NO	: 	: 	0.2390 	: 	0.2190 	0.2350 	: 	0.2710 	0.2840 	0.1910 	0.2010 	0.1990 	0.2150 	0.2150 	0.2050 	0.2460 	: 	0.1860 	0.1970 	0.1730 	0.1730 	0.1720 	0.1980 	0.1950 	0.1585 	: 	: 	: 	: 	: 	: 	: 
6000,4262720,KWH,X_VAT,NAC,PL	: 	: 	0.2273 	0.2291 	0.2291 	0.2016 	0.2205 	: 	0.2100 	0.2200 	0.2000 	0.1900 	0.1800 	0.2100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262720,KWH,X_VAT,NAC,PT	: 	: 	: 	0.0535 	0.0519 	: 	0.0493 	0.0486 	0.0485 	: 	0.0472 	0.0449 	0.0449 	0.0443 	0.0443 	0.0445 	0.0445 	0.0495 	0.0495 	0.0513 	0.0513 	0.0532 	0.0532 	0.0564 	0.0564 	0.0599 	0.0599 	0.0784 	0.0784 	0.0784 	0.0743 	0.0743 
6000,4262730,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0463 	0.0463 	0.0474 	0.0486 	0.0499 	0.0499 	0.0525 	0.0525 	0.0534 	0.0525 	0.0532 	0.0532 	0.0535 	0.0535 	0.0532 	0.0532 	0.0528 	0.0528 
6000,4262730,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0393 	0.0393 	0.0414 	0.0414 	0.0414 	0.0414 	0.0435 	0.0435 	0.0443 	0.0443 	0.0449 	0.0449 	0.0451 	0.0451 	0.0449 	0.0449 	0.0445 	0.0445 
6000,4262730,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0393 	0.0393 	0.0414 	0.0414 	0.0414 	0.0414 	0.0435 	0.0435 	0.0443 	0.0443 	0.0449 	0.0449 	0.0451 	0.0451 	0.0449 	0.0449 	0.0445 	0.0445 
6000,4262731,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0435 	0.0435 	0.0446 	0.0456 	0.0469 	0.0469 	0.0493 	0.0493 	0.0502 	0.0493 	0.0500 	0.0500 	0.0503 	0.0506 	0.0503 	0.0503 	0.0497 	0.0497 
